Kpop_Groupname,Spotify_ID
NCT,48eO052eSDcn8aTxiv6QaG
DAY6,5TnQc2N1iKlFjYD7CPGvFc
BTS,3Nrfpe0tUJi4K4DXYWgMUX
SHINee,2hRQKC0gqlZGPrmUKbcchR
StrayKids,2dIgFjalVxs4ThymZ67YCE
RedVelvet,1z4g3DjTBBZKhvAroFlhOM
Twice,7n2Ycct7Beij7Dj7meI4X0
EXO,3cjEqqelV9zb4BYE3qDQ4O
MAMAMOO,0XATRDCYuuGhk0oE7C0o5G
KARD,2JhAlkmukNvarUpGhTFXUQ
BTOB,2hcsKca6hCfFMwwdbFvenJ
Momoland,5RR0MLwcjc87wjSw2JYdwx
CIX,1lHfzEkKmmvdVDDDLKkcsd
Winner,5DuzBeOgFwViFcv00Q5PFb
OhMyGirl,2019zR22qK2RBvCqtudBaI
WayV,1qBsABYUrxg9afpMtyoFKz
NCT127,7f4ignuCJhLXfZ9giKT7rH
NCTU,3paGCCtX1Xr4Gx53mSeZuQ
NCTDREAM,1gBUSTR3TyDdTVFIaQnc02
EXID,1xs6WFotNQSXweo0GXrS0O
Pentagon,1wKpMkucynaTfG8lyPprYV
Seventeen,7nqOGRxlXj7N2JYbgNEjYH
Treasure,3KonOYiLsU53m4yT7gNotP
Cravity,6FkhUhUwSPl3mGB6mmE8wn
IZONE,5r1tUTxVSgvBHnoDuDODPH
TXT,0ghlgldX5Dd6720Q3qFyQB
MonstaX,4TnGh5PKbSjpYqpIdlW5nz
iKON,5qRSs6mvI17zrkJpOHkCoM
ITZY,2KC9Qb60EaY0kW4eH68vr3
TheBoyz,0CmvFWTX9zmMNCUi6fHtAx
ACE,25KT93FeotUTHC1dbLasxi
Dreamcatcher,5V1qsQHdXNm4ZEZHWvFnqQ
SF9,7LOmc7gyMVMOWF8qwEdn2X
NUEST,1iQfn1B8V25iQoolQakyAZ
ATEEZ,68KmkJeZGfwe1OUaivBa2L
ONEUS,3CVYSpM7nfHFG5qCTW7Ht9
AB6IX,4y0wFJ5jmCUNRLZfsw1I7g
Astro,4pz4uzOMpJQyV8UTsDy4H8
GIDLE,2AfmfGFbe0A0WsTYm0SDTx
SuperJunior,6gzXCdfYfFe5XKhPKkYqxV
Everglow,3ZZzT0naD25RhY2uZvIKkJ
CLC,6QyO41KctzGc70mVaVnXQO?
Loona,52zMTJCKluDlFwMQWmccY7
